"gene","log2FC","pvalue","padj","mean_iface","mean_distal","cscore","sig"
"ASXL1",-0.366845774051287,0.000374990409081374,0.00178349958217516,0.225484209368712,0.293664044542938,1.00835887959378,FALSE
"IK",-0.350383450656492,0.000247061301322295,0.00132661938303924,0.324377169256072,0.416297264139121,1.00814206635806,FALSE
"TNNC2",0.99405025666942,0.0565165373679619,0.096800620632613,0.0813379489292815,0.0358577043971221,1.00808809346173,FALSE
"SLC5A6",-0.432539275380128,0.00134858243631686,0.00467942973609101,0.112437743279642,0.155242825521648,1.00773306160892,FALSE
"GNA14",0.546161536049754,0.00556045993213741,0.0143003478193615,0.0592970896616432,0.0374574053965944,1.00747873404366,TRUE
"AF117829.1",-0.612853902764893,0.00978648672707701,0.0227097447741804,0.0522461208553089,0.0851918351246998,1.00740173583095,TRUE
"BBS9",-0.462555305953052,0.00213926139573542,0.00666726201760157,0.0353807303862987,0.0525337543333358,1.00654461933498,FALSE
"TMEM161B-AS1",-0.520447343745101,0.00432018404033112,0.0116421392073871,0.086848742615692,0.128919831634391,1.00652809841409,TRUE
"CSRNP3",0.563570981678136,0.00655719264528017,0.0163989338428669,0.0333780800802859,0.0193507062567459,1.00607811699171,TRUE
"PRDX4",-0.431626343508469,0.00134858243631686,0.00467942973609101,0.491901063889001,0.666940647661113,1.00560610648037,FALSE
"MXRA5",0.536625938027814,0.00511526202312653,0.0133779022154705,0.263883839067337,0.17881039595736,1.00542878777386,TRUE
"STRIP1",-0.370346494519685,0.000415502152508517,0.00193072803341354,0.0934880562989948,0.123775207656207,1.00522367486966,FALSE
"SCGB2A1",-1.03554797598701,0.0638922349271161,0.107026203388303,0.0386974805061747,0.0898245808062337,1.00500954223786,FALSE
"CAND1",-0.379298368882319,0.000509072918078457,0.00224243660687293,0.311438337329826,0.408097777848203,1.0048675165279,FALSE
"NOX4",0.704096740166096,0.0179170951835561,0.0374309833136918,0.0261062152659293,0.0121629582557139,1.00458323556187,TRUE
"CEP95",-0.442819504003044,0.00162525754625207,0.00538895571080034,0.193323367733075,0.266368949573084,1.00453400150403,FALSE
"OVOL1",-0.71631223496798,0.0192923797065616,0.0396766326945614,0.0159849498969584,0.0326926735707878,1.00388666460986,TRUE
"EDA",-0.642673759564133,0.0123447457586171,0.0274201015069372,0.0308631962113014,0.0537964352056224,1.00381203055994,TRUE
"AC093525.6",-0.481508443666475,0.00279860219090708,0.00824081208682764,0.0228358158958642,0.0358454559919716,1.00347803648787,FALSE
"EIF2B2",-0.403494216964218,0.000835716821727253,0.00326381881433842,0.100505813830982,0.136166884330285,1.00319716400714,FALSE
"DDX23",-0.329586258680842,0.000144382559315278,0.000910457312236543,0.234483746477107,0.29723121765613,1.0021862559291,FALSE
"MT1F",-0.715098722683498,0.0192923797065616,0.0396766326945614,0.129656434448523,0.219259380913641,1.00218596938191,TRUE
"KDR",0.534846159494506,0.00511526202312653,0.0133779022154705,0.0755084784179052,0.0490207115970509,1.00209417338712,TRUE
"C15orf65",-0.518066249579863,0.00432018404033112,0.0116421392073871,0.0136662058362829,0.023890823235305,1.00192314036966,TRUE
"KLHL31",-0.467078887120846,0.00233018323460281,0.00716279099966678,0.00620767379449765,0.0124039937371832,1.00184578198244,FALSE
"MTO1",-0.408057710327081,0.000920913394288009,0.00350794385712574,0.0978110620235202,0.133054306056735,1.00176020110868,FALSE
"LRIG2",-0.402730771372568,0.000835716821727253,0.00326381881433842,0.100876705914653,0.136579878432795,1.00129902911396,FALSE
"YARS",-0.364229816466163,0.000374990409081374,0.00178349958217516,0.203206257340695,0.264437874203052,1.00116832637991,FALSE
"C10orf88",-0.402668038853606,0.000835716821727253,0.00326381881433842,0.036016005512564,0.0508308765298506,1.00114305888572,FALSE
"ATP6V0A2",-0.407761922144668,0.000920913394288009,0.00350794385712574,0.0777659118850657,0.10643255805996,1.0010340566894,FALSE
"NUP214",-0.322112903162452,0.00011590114146772,0.000782642601007293,0.15793003354736,0.19993943331354,1.00062328471041,FALSE
"SLC9B1",-0.432804249814615,0.00141261872243144,0.00489938464202417,0.00547753360511453,0.0108924233295228,0.999716559478871,FALSE
"TTYH3",-0.524910629030256,0.0047025327633899,0.0124685002561062,0.172705365572772,0.252884600292102,0.999527356335965,TRUE
